State,Year,Month,Temperature
MO,2022,1,28.4
MO,2022,2,32.5
MO,2022,3,46.1
MO,2022,4,53
MO,2022,5,65.9
MO,2022,6,75.3
MO,2022,7,79.8
MO,2022,8,76.4
MO,2022,9,69.5
MO,2022,10,56
MO,2022,11,44.3
MO,2022,12,33.1
MO,2023,1,37.2
MO,2023,2,39.9
MO,2023,3,43.8
MO,2023,4,56.2
MO,2023,5,66.1
MO,2023,6,73.9
MO,2023,7,77.9
MO,2023,8,76.5
MO,2023,9,70.4
MO,2023,10,58.8
MO,2023,11,46.2
MO,2023,12,41.9
MO,2024,1,27.8
MO,2024,2,45.3
MO,2024,3,49.9
MO,2024,4,58.6
MO,2024,5,68
MO,2024,6,75.8
MO,2024,7,76.1
MO,2024,8,75.8
MO,2024,9,69.8
MO,2024,10,61.3
MO,2024,11,48.7
MO,2024,12,37.8
MO,2025,1,26.8
MO,2025,2,32.1
MO,2025,3,51.4
MO,2025,4,57.2
MO,2025,5,63.2
MO,2025,6,74.9
MO,2025,7,79.5
MO,2025,8,75
MO,2025,9,71.2
MO,2025,10,61.7
MO,2025,11,48
MO,2025,12,36.3
MO,2026,1,26.5
MS,1991,1,44.6
MS,1991,2,50.4
MS,1991,3,57.3
MS,1991,4,66.1
MS,1991,5,73.8
MS,1991,6,78.4
MS,1991,7,81.3
MS,1991,8,79.2
MS,1991,9,74.4
MS,1991,10,65.2
MS,1991,11,50.4
MS,1991,12,50.7
MS,1992,1,44.3
MS,1992,2,52.1
MS,1992,3,55.8
MS,1992,4,62.6
MS,1992,5,69.4
MS,1992,6,76.1
MS,1992,7,80.6
MS,1992,8,76.2
MS,1992,9,73.6
MS,1992,10,63.3
MS,1992,11,51.8
MS,1992,12,47.9
MS,1993,1,47.7
MS,1993,2,47
MS,1993,3,52.4
MS,1993,4,59.1
MS,1993,5,69.3
MS,1993,6,78.3
MS,1993,7,82.3
MS,1993,8,81.4
MS,1993,9,74.3
MS,1993,10,63
MS,1993,11,51.6
MS,1993,12,46.1
MS,1994,1,41.2
MS,1994,2,49.4
MS,1994,3,55.8
MS,1994,4,65.6
MS,1994,5,69.4
MS,1994,6,79
MS,1994,7,78.6
MS,1994,8,78.1
MS,1994,9,72.8
MS,1994,10,64.7
MS,1994,11,58.3
MS,1994,12,49.6
MS,1995,1,46.2
MS,1995,2,48.3
MS,1995,3,58.2
MS,1995,4,64
MS,1995,5,72.7
MS,1995,6,76
MS,1995,7,81.3
MS,1995,8,82.6
MS,1995,9,74
MS,1995,10,63.8
MS,1995,11,50.5
MS,1995,12,45.7
MS,1996,1,44.4
MS,1996,2,48.2
MS,1996,3,51
MS,1996,4,60.8
MS,1996,5,74.4
MS,1996,6,77.6
MS,1996,7,80.5
MS,1996,8,78.5
MS,1996,9,72.9
MS,1996,10,64
MS,1996,11,53.8
MS,1996,12,50.1
MS,1997,1,45
MS,1997,2,50.9
MS,1997,3,60.4
MS,1997,4,59.2
MS,1997,5,68.9
MS,1997,6,76
MS,1997,7,81.3
MS,1997,8,78.6
MS,1997,9,75.6
MS,1997,10,63.7
MS,1997,11,50.4
MS,1997,12,44.9
MS,1998,1,48.7
MS,1998,2,49.9
MS,1998,3,54.9
MS,1998,4,62.2
MS,1998,5,74.1
MS,1998,6,81.6
MS,1998,7,82.9
MS,1998,8,81.4
MS,1998,9,78.8
MS,1998,10,67.6
MS,1998,11,58
MS,1998,12,50.1
MS,1999,1,49.8
MS,1999,2,53.3
MS,1999,3,53.6
MS,1999,4,68
MS,1999,5,71.1
MS,1999,6,78.4
MS,1999,7,81.6
MS,1999,8,82.5
MS,1999,9,73.7
MS,1999,10,63.9
MS,1999,11,56.7
MS,1999,12,47.6
MS,2000,1,47.3
MS,2000,2,53.2
MS,2000,3,59.8
MS,2000,4,61.3
MS,2000,5,74.4
MS,2000,6,78.1
MS,2000,7,82.2
MS,2000,8,83.2
MS,2000,9,75.4
MS,2000,10,65.2
MS,2000,11,52.1
MS,2000,12,38.4
MS,2001,1,40.9
MS,2001,2,52.5
MS,2001,3,51.7
MS,2001,4,66.8
MS,2001,5,71.7
MS,2001,6,76.6
MS,2001,7,81
MS,2001,8,79.7
MS,2001,9,73
MS,2001,10,61.1
MS,2001,11,58.6
MS,2001,12,50.8
MS,2002,1,47.5
MS,2002,2,46
MS,2002,3,54.9
MS,2002,4,66.7
MS,2002,5,70.9
MS,2002,6,77.8
MS,2002,7,81.1
MS,2002,8,80.1
MS,2002,9,77.6
MS,2002,10,67
MS,2002,11,51.6
MS,2002,12,46.6
MS,2003,1,40.5
MS,2003,2,46.7
MS,2003,3,56.4
MS,2003,4,64.3
MS,2003,5,73
MS,2003,6,76.6
MS,2003,7,79.7
MS,2003,8,80.6
MS,2003,9,73.4
MS,2003,10,64.5
MS,2003,11,58.6
MS,2003,12,44.9
MS,2004,1,45.3
MS,2004,2,45.4
MS,2004,3,59.6
